Month,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,Day_of_Year,Month,Location,WindGustDir,WindDir9am,WindDir3pm,RainToday,Season
1,13.9,25.6,0.0,7.2,10.1,41.0,13.0,19.0,67.0,49.0,1013.9,1012.3,6.0,5.0,17.9,23.6,16.0,1.0,Bendigo,SSW,SE,SW,No,Verano
2,13.9,25.5,0.0,6.0,9.0,39.0,13.0,17.0,74.0,51.0,1015.6,1014.2,6.0,5.0,17.4,23.7,46.0,2.0,Watsonia,SSE,SSE,SE,No,Verano
3,12.3,23.2,0.0,4.6,7.7,37.0,11.0,17.0,80.0,54.0,1018.1,1016.6,7.0,6.0,15.6,21.7,75.0,3.0,Bendigo,W,SE,W,No,Otoño
4,9.7,19.5,0.0,3.0,6.1,35.0,11.0,15.0,80.0,59.0,1021.4,1019.0,7.0,6.0,14.0,18.2,106.0,4.0,Bendigo,SSE,WNW,SSW,No,Otoño
5,7.1,15.9,0.2,1.6,4.5,35.0,13.0,15.0,87.0,64.0,1021.6500000000001,1019.2,7.0,7.0,10.9,14.9,136.0,5.0,Portland,WNW,WNW,W,No,Otoño
6,5.1,13.9,0.2,1.2,4.3,35.0,11.0,15.0,92.0,70.0,1022.4,1020.7,7.0,7.0,8.6,12.9,166.0,6.0,Bendigo,N,WNW,WNW,No,Invierno
7,5.3,13.149999999999999,0.4,1.4,4.5,39.0,13.0,17.0,91.0,70.0,1022.0,1020.1,7.0,7.0,8.4,12.3,197.0,7.0,Bendigo,N,N,N,No,Invierno
8,5.5,14.0,0.2,2.2,6.0,41.0,15.0,19.0,83.0,63.0,1019.1,1016.9,7.0,7.0,9.4,12.9,228.0,8.0,Bendigo,W,WNW,W,No,Invierno
9,6.7,16.0,0.0,3.0,6.9,43.0,15.0,19.0,73.0,57.0,1018.0,1015.8,6.0,7.0,11.4,14.6,259.0,9.0,Bendigo,WNW,W,WNW,No,Primavera
10,8.2,18.6,0.0,4.0,7.8,41.0,15.0,20.0,71.0,53.0,1019.5,1017.6,6.0,6.0,12.4,17.2,289.0,10.0,Bendigo,W,W,W,No,Primavera
11,10.8,21.8,0.0,5.4,8.3,41.0,15.0,19.0,69.0,54.0,1016.2,1014.6,7.0,6.0,15.1,20.0,320.0,11.0,Bendigo,W,WSW,W,No,Primavera
12,11.7,23.35,0.0,6.0,9.6,41.0,15.0,19.0,67.0,50.0,1014.1,1012.2,6.0,5.0,16.4,21.6,350.0,12.0,Bendigo,W,SSE,W,No,Verano
